,seccion,titulo,url,cmp,idx,dominio,crawl_day
404,cultura,Cultura contratará 600 funcionarios para “los presupuestos más ambiciosos de la historia”,https://www.eldiario.es/cultura/politicas_culturales/cultura-contratara-600-funcionarios-presupuestos-ambiciosos-historia_1_9604936.html,Economía,6,www.eldiario.es,2022-10-07
405,tecnologia,Twitter no se fía de la nueva jugada de Elon Musk y solo acepta aplazar el juicio,https://www.eldiario.es/tecnologia/twitter-no-fia-nueva-jugada-elon-musk-acepta-aplazar-juicio_1_9604010.html,Economía,8,www.eldiario.es,2022-10-07
406,politica,La Audiencia Nacional confirma el archivo de la causa contra Sánchez Galán en el caso Villarejo,https://www.eldiario.es/politica/audiencia-nacional-confirma-archivo-causa-sanchez-galan-caso-villarejo_1_9604404.html,Economía,9,www.eldiario.es,2022-10-07
407,catalunya,El fiscal acusa a Torrent de creerse “una casta” al reprobar a la monarquía pese al aviso del Constitucional,https://www.eldiario.es/catalunya/fiscal-acusa-torrent-creerse-casta-reprobar-monarquia-pese-aviso-constitucional_1_9604521.html,Politica,0,www.eldiario.es,2022-10-07
408,catalunya,El Supremo multa con 13.500 euros a Eulàlia Reguant por no contestar a Vox en el juicio al procés,https://www.eldiario.es/catalunya/supremo-multa-13-500-euros-eulalia-reguant-no-contestar-vox-juicio-proces_1_9597049.html,Politica,2,www.eldiario.es,2022-10-07
409,edcreativo,PODCAST | Desmitificando el reciclaje,https://www.eldiario.es/edcreativo/reciclandoadiario/podcast-leyenda-camion-basura_1_9312351.html,elDiariobrands,1,www.eldiario.es,2022-10-07
410,edcreativo,"Los mayores de 55, los más concienciados con el reciclaje",https://www.eldiario.es/edcreativo/reciclandoadiario/recicla-diferente-invierno-verano_1_9579897.html,elDiariobrands,2,www.eldiario.es,2022-10-07
411,cantabria,Cambian 29 meses de prisión por 168 días de trabajos comunitarios a un hombre condenado por violencia de género en Cantabria,https://www.eldiario.es/cantabria/ultimas-noticias/cambian-29-meses-prision-168-dias-trabajos-comunitarios-hombre-condenado-violencia-genero-cantabria_1_9604578.html,Sociedad,0,www.eldiario.es,2022-10-07
412,catalunya,Un teléfono pionero de atención a pedófilos para prevenir abusos cierra por falta de financiación,https://www.eldiario.es/catalunya/telefono-pionero-atencion-pedofilos-prevenir-abusos-cierra-falta-financiacion_1_9583304.html,Sociedad,2,www.eldiario.es,2022-10-07
413,madrid,"Desmontando la “degradación” de AZCA, el distrito financiero de Madrid que Almeida quiere privatizar",https://www.eldiario.es/madrid/somos/tetuan/desmontando-degradacion-azca-distrito-financiero-madrid-almeida-quiere-privatizar_1_9568240.html,Sociedad,4,www.eldiario.es,2022-10-07
414,sociedad,Maternidad y discapacidad: el tabú y el deseo de muchas,https://www.eldiario.es/sociedad/maternidad-discapacidad-tabu-deseo_1_9601615.html,Sociedad,6,www.eldiario.es,2022-10-07
415,catalunya,Un ciberataque afecta a tres hospitales de Barcelona desde la madrugada del viernes,https://www.eldiario.es/catalunya/ciberataque-afecta-tres-hospitales-barcelona-madrugada-viernes_1_9604325.html,Sociedad,8,www.eldiario.es,2022-10-07
416,sociedad,El escándalo de explotación a mujeres en el Opus Dei llega al gobierno de Argentina,https://www.eldiario.es/sociedad/diputados-gobierno-argentina-piden-informacion-ministerio-exteriores-denuncia-explotacion-mujeres-opus-dei_1_9603013.html,Política,0,www.eldiario.es,2022-10-07
417,internacional,Biden anuncia el perdón a todos los condenados federales por posesión de marihuana en un paso hacia su despenalización,https://www.eldiario.es/internacional/biden-anuncia-perdon-condenados-federales-posesion-marihuana-paso-despenalizacion_1_9603415.html,Política,1,www.eldiario.es,2022-10-07
418,internacional,Estados Unidos acusa al Grupo Wagner de explotar recursos en África para financiar la guerra en Ucrania,https://www.eldiario.es/internacional/acusan-rusia-onu-mercenarios-explotar-recursos-africa_1_9603608.html,Política,2,www.eldiario.es,2022-10-07
419,consumoclaro,Muebles de segunda mano: ventajas y riesgos de comprarlos en internet,https://www.eldiario.es/consumoclaro/ahorrar_mejor/muebles-segunda-mano-ventajas-riesgos-comprarlos-internet_1_9593729.html,Política,3,www.eldiario.es,2022-10-07
420,madrid,El bot con el que puedes denunciar una terraza ilegal de Madrid en un minuto,https://www.eldiario.es/madrid/somos/bot-puedes-denunciar-terraza-ilegal-madrid-minuto_1_9603915.html,edicion-local,0,www.eldiario.es,2022-10-07
421,andalucia,Menos para la salida de Queipo de la Macarena: la Junta de Andalucía asegura que cumplirá la nueva ley,https://www.eldiario.es/andalucia/sevilla/junta-andalucia-asegura-cumplira-nueva-ley-salida-restos-queipo-macarena_1_9600709.html,edicion-local,5,www.eldiario.es,2022-10-07
422,comunitat-valenciana,"La Comunitat Valenciana, cuarta con más inversión del Estado: 327 millones para Cercanías y 311 para el Corredor Mediterráneo",https://www.eldiario.es/comunitat-valenciana/politica/comunitat-valenciana-cuarta-inversion-327-millones-cercanias-311-corredor-mediterraneo_1_9602203.html,edicion-local,9,www.eldiario.es,2022-10-07
423,canariasahora,Nueva Canarias podrá percibir subvenciones del Parlamento y continúa su batalla para anular su extinción,https://www.eldiario.es/canariasahora/politica/nueva-canarias-podra-percibir-subvenciones-parlamento-continua-batalla-anular-extincion_1_9604991.html,edicion-local,12,www.eldiario.es,2022-10-07
424,andalucia,"Cristian Tekila, el bombero que compuso el nuevo himno de la liga de Baloncesto “entre fuego y fuego”",https://www.eldiario.es/andalucia/deporte/cristian-tekila-autor-compuso-nuevo-himno-liga-baloncesto-fuego-fuego_1_9589610.html,home-sin-identificar,13,www.eldiario.es,2022-10-07
425,consumoclaro,Este es el antioxidante más valioso del aceite de oliva virgen (y casi nadie lo conoce),https://www.eldiario.es/consumoclaro/cuidarse/antioxidante-valioso-aceite-virgen-conoce_1_1284891.html,Consumo claro,4,www.eldiario.es,2022-10-07
426,consumoclaro,Ocho trucos para mejorar tu salud desde el intestino,https://www.eldiario.es/consumoclaro/cuidarse/biota-flora-intestinal-cancer-celiacos-diabetes-asma-dieta_1_4210851.html,Consumo claro,6,www.eldiario.es,2022-10-07
427,catalunya,"Aragonès, tras la salida de Junts del Govern: “Continuaré gobernando, no abandonaré a la ciudadanía”",https://www.eldiario.es/catalunya/aragones-salida-junts-govern-continuare-gobernando-no-abandonare-ciudadania_1_9606787.html,Apertura,0,www.eldiario.es,2022-10-08
428,catalunya,Se acabó la falacia de la unidad independentista,https://www.eldiario.es/catalunya/politica/acabo-falacia-unidad-independentista_129_9606593.html,Apertura,2,www.eldiario.es,2022-10-08
429,catalunya,Las bases de Junts deciden romper con ERC y salir del Govern catalán,https://www.eldiario.es/catalunya/bases-junts-govern_1_9603414.html,Apertura,4,www.eldiario.es,2022-10-08
430,,"Borràs: “Aragonès pierde, su Govern ha fracasado”",https://www.eldiario.es/politica/ultima-hora-actualidad-politica-directo_6_9603951_1094473.html,Apertura,6,www.eldiario.es,2022-10-08
431,politica,Sánchez aboga “por la estabilidad” en Catalunya y tiende la mano a Aragonès,https://www.eldiario.es/politica/pedro-sanchez-aboga-estabilidad-catalunya-tiende-mano-aragones-ruptura-junts_1_9605366.html,Apertura,8,www.eldiario.es,2022-10-08
432,economia,Los líderes de la UE acuerdan ultimar la reducción de los precios del gas,https://www.eldiario.es/economia/lideres-ue-acuerdan-ultimar-reduccion-precios-gas_1_9602032.html,Apertura,10,www.eldiario.es,2022-10-08
433,politica,El PP reduce las declaraciones de Ayuso a una “opinión” más a “respetar”,https://www.eldiario.es/politica/pp-reduce-declaraciones-ayuso-canticos-machistas-opinion-respetar_1_9606276.html,Poti,5,www.eldiario.es,2022-10-08
434,,Alemania condena los saludos nazis en el Elías Ahuja: “Atentan contra la memoria de las víctimas”,https://www.eldiario.es/politica/ultima-hora-actualidad-politica-directo_6_9603951_1094463.html,Poti,9,www.eldiario.es,2022-10-08
435,madrid,Okupación y desalojo exprés de la simbólica sede del Patio Maravillas en la calle Pez de Madrid,https://www.eldiario.es/madrid/somos/malasana/ingobernable-reabre-edificio-pez-okupo-patio-maravillas_1_9606565.html,Poti,24,www.eldiario.es,2022-10-08
436,cultura,La Fiesta del Cine da aire a las salas pero se queda lejos de los datos prepandemia,https://www.eldiario.es/cultura/cine/fiesta-cine-da-aire-salas-queda-lejos-datos-previos-pandemia_1_9605753.html,Cinturon1,4,www.eldiario.es,2022-10-08
437,cultura,Makoki ha perdido ya a sus dos padres: muere el historietista Juanito Mediavilla,https://www.eldiario.es/cultura/comics/makoki-perdido-padres-muere-historietista-juanito-mediavilla_1_9606738.html,Cinturon1,7,www.eldiario.es,2022-10-08
438,castilla-la-mancha,El Supremo confirma 20 años de cárcel a un policía local de Albacete por asesinar al hombre que le proporcionaba cocaína,https://www.eldiario.es/castilla-la-mancha/supremo-confirma-20-anos-carcel-policia-local-albacete-asesinar-hombre-le-proporcionaba-cocaina_1_9606351.html,Potito,0,www.eldiario.es,2022-10-08
439,madrid,"Sobre la ciudad de los 15 minutos, la justicia social y la necesidad de un cambio también en la comunicación política",https://www.eldiario.es/madrid/somos/blogs/stories-matritenses/ciudad-15-minutos-justicia-social-necesidad-cambio-comunicacion-politica_132_9602619.html,edicion-local,0,www.eldiario.es,2022-10-08
440,canariasahora,"Las supervivientes del suicidio hablan: “El vacío, la precariedad, el miedo o el maltrato no se curan con química”",https://www.eldiario.es/canariasahora/sociedad/supervivientes-suicidio-hablan-vacio-precariedad-miedo-maltrato-no-curan-quimica_1_9606733.html,edicion-local,12,www.eldiario.es,2022-10-08
