,seccion,titulo,url,cmp,idx,dominio,crawl_day
10,internacional,Los ataques al Nord Stream muestran la vulnerabilidad de los gasoductos en Occidente,https://www.eldiario.es/internacional/theguardian/ataques-nord-stream-muestran-vulnerabilidad-gasoductos-occidente_1_9583342.html,Poti,4,www.eldiario.es,2022-10-03
11,sociedad,"Ministros, amigos y familiares: los títulos que el dictador otorgó durante el franquismo que serán anulados",https://www.eldiario.es/sociedad/ministros-amigos-familiares-titulos-dictador-otorgo-durante-franquismo-seran-anulados_1_9581908.html,Poti,7,www.eldiario.es,2022-10-03
12,comunitat-valenciana,"Alejandro, el informático que desafía los resquicios de la ley yendo desnudo por la vida: “Me gusta tomar el sol”",https://www.eldiario.es/comunitat-valenciana/alejandro-informatico-desafia-resquicios-ley-yendo-desnudo-vida-gusta-sol_1_9583905.html,Poti,10,www.eldiario.es,2022-10-03
13,sociedad,Giorgia Meloni: la 'católica' que reniega de Francisco y que gobernará el 'país del Papa',https://www.eldiario.es/sociedad/giorgia-meloni-catolica-reniega-francisco-gobernara-pais-papa_1_9584822.html,Poti,13,www.eldiario.es,2022-10-03
14,catalunya,"Puigdemont, la principal carpeta del procés en los tribunales a la espera de la desjudicialización",https://www.eldiario.es/catalunya/puigdemont-principal-carpeta-proces-tribunales-espera-desjudicializacion_1_9581694.html,Poti,15,www.eldiario.es,2022-10-03
15,cultura,"Caravaggio, ese luminoso rescate del comunismo italiano",https://www.eldiario.es/cultura/arte/caravaggio-luminoso-rescate-comunismo-italiano_1_9584306.html,Poti,17,www.eldiario.es,2022-10-03
16,internacional,Al menos 174 muertos por una estampida durante unos disturbios en un partido de fútbol en Indonesia,https://www.eldiario.es/internacional/127-muertos-disturbios-partido-futbol-indonesia_1_9587875.html,Poti,21,www.eldiario.es,2022-10-03
17,sociedad,"Tamara Falcó, en un encuentro del movimiento ultracatólico en México: “Mi propósito es llegar al cielo”",https://www.eldiario.es/sociedad/tamara-falco-encuentro-referencia-movimiento-ultracatolico-mexico-proposito-vida-llegar-cielo_1_9588017.html,Poti,22,www.eldiario.es,2022-10-03
18,euskadi,De mejor sumiller de España al banquillo acusado de robar botellas de vino valoradas en 31.854 euros,https://www.eldiario.es/euskadi/mejor-sumiller-espana-banquillo-acusado-robar-botellas-vino-valoradas-31-854-euros_1_9585444.html,Poti,24,www.eldiario.es,2022-10-03
19,opinion,No diga usted fascismo,https://www.eldiario.es/opinion/no-diga-fascismo_131_9587612.html,Cinturon1,0,www.eldiario.es,2022-10-03
20,cultura,Fermin Muguruza dirige su segunda película de animación: “Un ejercicio de memoria en plena batalla por el relato”,https://www.eldiario.es/cultura/cine/fermin-muguruza-dirige-segunda-pelicula-animacion-ejercicio-memoria-plena-batalla-relato_1_9577694.html,Cinturon1,2,www.eldiario.es,2022-10-03
21,tumejoryo,¿El ayuno intermitente y la dieta cetogénica nos pueden volver más inteligentes?,https://www.eldiario.es/tumejoryo/ayuno-intermitente-dieta-cetogenica-volver-inteligentes_1_9570045.html,Cinturon1,4,www.eldiario.es,2022-10-03
22,consumoclaro,Bioinformática: la tecnología que nos protegerá de la siguiente pandemia,https://www.eldiario.es/consumoclaro/cuidarse/bioinformatica-tecnologia-protegera-siguiente-pandemia_1_9580184.html,Cinturon1,6,www.eldiario.es,2022-10-03
23,madrid,Almeida se queda sin aliados en el Ayuntamiento para aprobar los presupuestos,https://www.eldiario.es/madrid/almeida-queda-aliados-ayuntamiento-aprobar-presupuestos_1_9580512.html,Potito,0,www.eldiario.es,2022-10-03
24,canariasahora,¿Cuándo y dónde será la próxima erupción en La Palma? Una evaluación de riesgo trata de resolver la incógnita,https://www.eldiario.es/canariasahora/ciencia_y_medio_ambiente/sera-proxima-erupcion-palma-evaluacion-riesgo-trata-resolver-incognita_1_9581519.html,Potito,2,www.eldiario.es,2022-10-03
