,seccion,titulo,url,cmp,idx,dominio,crawl_day
1267,madrid,Tres menores detenidos por la agresión con arma blanca a otro menor en Madrid,https://www.eldiario.es/madrid/tres-menores-detenidos-agresion-arma-blanca-menor-madrid_1_9646727.html,Potito,0,www.eldiario.es,2022-10-22
1268,euskadi, El juez deja en libertad provisional a la mujer que secuestró al bebé del hospital de Basurto,https://www.eldiario.es/euskadi/mujer-secuestro-bebe-hospital-basurto-pide-solicita-ingreso-psiquiatrico_1_9646558.html,Potito,2,www.eldiario.es,2022-10-22
1269,internacional,"Lula afirma que su Gobierno tendrá más mujeres, negros e indígenas",https://www.eldiario.es/internacional/lula-afirma-gobierno-tendra-mujeres-negros-e-indigenas_1_9646634.html,Política,2,www.eldiario.es,2022-10-22
1270,canariasahora,La banana se come el mercado peninsular que el plátano perdió por la erupción de La Palma ,https://www.eldiario.es/canariasahora/agricola/agricultura/banana-come-mercado-peninsular-platano-perdio-erupcion-palma_1_9643629.html,edicion-local,12,www.eldiario.es,2022-10-22
1271,madrid,Miles de personas desfilan por Madrid contra el “gol” de Ayuso a la sanidad pública,https://www.eldiario.es/madrid/miles-personas-desfilan-madrid-gol-ayuso-sanidad-publica_1_9646913.html,Poti,6,www.eldiario.es,2022-10-23
1272,economia,Los salarios reales sufren la mayor caída en 40 años mientras las empresas superan los beneficios previos al COVID,https://www.eldiario.es/economia/salarios-reales-sufren-mayor-caida-40-anos-empresas-superan-beneficios-previos-covid_1_9640752.html,Apertura,0,www.eldiario.es,2022-10-23
1273,politica,Sánchez sobrevive entre los tambores del Apocalipsis y la hecatombe de gobiernos europeos,https://www.eldiario.es/politica/sanchez-sobrevive-tambores-apocalipsis-hecatombe-gobiernos-europeos_129_9644966.html,Apertura,2,www.eldiario.es,2022-10-23
1274,politica,"Vox, PP y ahora también el PSOE pugnan por la bandera 'antiokupa' que solo preocupa al 1% de los españoles",https://www.eldiario.es/politica/vox-pp-ahora-psoe-pugnan-bandera-antiokupa-preocupa-1-espanoles_1_9644720.html,Apertura,5,www.eldiario.es,2022-10-23
1275,sociedad,"Paolo Vasile, el emperador romano de la televisión en España",https://www.eldiario.es/sociedad/paolo-vasile-emperador-romano-television-espana_129_9640166.html,Apertura,9,www.eldiario.es,2022-10-23
1276,politica,Izquierda Unida explora con Compromís y Más Madrid un pacto en las autonómicas,https://www.eldiario.es/politica/izquierda-unida-explora-compromis-madrid-pacto-autonomicas_1_9645150.html,Apertura,11,www.eldiario.es,2022-10-23
1277,politica,El mandato de Lesmes aumentó el poder de jueces de su confianza y conservadores en la cúpula judicial,https://www.eldiario.es/politica/mandato-lesmes-aumento-jueces-confianza-conservadores-cupula-judicial_1_9641939.html,Apertura,13,www.eldiario.es,2022-10-23
1278,madrid,"Alejandra Jacinto, una década frente a los desahucios que inspiraron 'En los márgenes'",https://www.eldiario.es/madrid/alejandra-jacinto-decada-frente-desahucios-inspiraron-margenes_1_9641635.html,Apertura,16,www.eldiario.es,2022-10-23
1279,extremadura,"Don Benito y Villanueva, una unión de municipios que no está siendo tan fácil",https://www.eldiario.es/extremadura/sociedad/don-benito-villanueva-union-no-facil_1_9632193.html,Apertura,18,www.eldiario.es,2022-10-23
1280,cultura,"Argusino, el pueblo expoliado dos veces en medio siglo",https://www.eldiario.es/cultura/argusino-pueblo-expoliado-veces-medio-siglo_1_9639951.html,Poti,0,www.eldiario.es,2022-10-23
1281,internacional,El exministro de Economía del Reino Unido Rishi Sunak anuncia su candidatura a liderar el Partido Conservador,https://www.eldiario.es/internacional/exministro-economia-reino-unido-rishi-sunak-anuncia-candidatura-liderar-partido-conservador_1_9647424.html,Poti,2,www.eldiario.es,2022-10-23
1282,economia,Ser becario antes de la llegada del Estatuto: “Sufría de insomnio por trabajar de noche”,https://www.eldiario.es/economia/becario-llegada-estatuto-sufria-insomnio-trabajar-noche_1_9645229.html,Poti,5,www.eldiario.es,2022-10-23
1283,sociedad,La desigualdad territorial de los servicios sociales: 40 casos por trabajador en Galicia y 300 en Cantabria,https://www.eldiario.es/sociedad/desigualdad-territorial-servicios-sociales-40-casos-trabajador-galicia-300-cantabria_1_9644255.html,Poti,7,www.eldiario.es,2022-10-23
1284,internacional,"Xi presenta a la nueva cúpula china, en la que sus fieles copan todo el poder",https://www.eldiario.es/internacional/xi-presenta-nueva-cupula-china-fieles-copan_1_9647158.html,Poti,12,www.eldiario.es,2022-10-23
1285,internacional,Cómo se ha roto la alianza entre Hungría y Polonia por la guerra en Ucrania,https://www.eldiario.es/internacional/theguardian/roto-alianza-hungria-polonia-guerra-ucrania_1_9635205.html,Poti,14,www.eldiario.es,2022-10-23
1286,comunitat-valenciana,Un hombre asesina a su pareja de 29 años en Alcoi,https://www.eldiario.es/comunitat-valenciana/nuevo-asesinato-machista-comunitat-valenciana-mujer-29-anos-muere-degollada-pareja-alcoi_1_9647240.html,Poti,15,www.eldiario.es,2022-10-23
1287,economia,Ríos revueltos en la banca de inversión: Goldman Sachs inicia la reconversión,https://www.eldiario.es/economia/rios-revueltos-banca-inversion-goldman-sachs-inicia-reconversion_1_9645489.html,Poti,16,www.eldiario.es,2022-10-23
1288,illes-balears,"La nacra, el 'mejillón gigante' del Mediterráneo, en peligro de extinción por un patógeno mortífero",https://www.eldiario.es/illes-balears/sociedad/nacra-mejillon-gigante-mediterraneo-peligro-extincion-patogeno-mortifero_1_9644269.html,Poti,18,www.eldiario.es,2022-10-23
1289,sociedad,"Denuncias e impunidad, 20 años después del caso que destapó los abusos en la Iglesia del Papa Francisco",https://www.eldiario.es/sociedad/denuncias-e-impunidad-20-anos-despues-caso-destapo-horror-abusos-iglesia-papa-francisco_1_9646464.html,Poti,20,www.eldiario.es,2022-10-23
1290,catalunya,La familia de origen chino que revolucionó el reggae en Jamaica,https://www.eldiario.es/catalunya/cultura/familia-origen-chino-revoluciono-reggae-jamaica_1_9640990.html,Poti,21,www.eldiario.es,2022-10-23
1291,comunitat-valenciana,"Urbanismo, guerras internas del PP, mercenarios y un crimen impune: 15 años del asesinato del alcalde de Polop",https://www.eldiario.es/comunitat-valenciana/urbanismo-guerras-internas-pp-mercenarios-crimen-impune-15-anos-asesinato-alcalde-polop_1_9644384.html,Poti,23,www.eldiario.es,2022-10-23
1292,opinion,Los okupas,https://www.eldiario.es/opinion/okupas_131_9646980.html,Cinturon1,0,www.eldiario.es,2022-10-23
1293,cultura,"Félix Viscarret adapta (y convence) a Millás: “Si te gusta el cine eres, de alguna forma, un voyeur”",https://www.eldiario.es/cultura/cine/felix-viscarret-adapta-convence-millas-si-gusta-cine-forma-voyeur_1_9646244.html,Cinturon1,2,www.eldiario.es,2022-10-23
1294,consumoclaro,10 establecimientos a los que jamás entrarías si no te descubriéramos lo bien que dan de comer,https://www.eldiario.es/consumoclaro/comer/10-establecimientos-entrarias-si-no-descubrieramos-dan-comer_1_9637997.html,Cinturon1,4,www.eldiario.es,2022-10-23
1295,consumoclaro,Este es el ingrediente con el que se hace el falso guacamole en México y Estados Unidos,https://www.eldiario.es/consumoclaro/comer/ingrediente-falso-guacamole-mexico-estados-unidos_1_9637591.html,Cinturon1,6,www.eldiario.es,2022-10-23
1296,internacional,La derecha francesa usa el asesinato de una niña para atacar al Gobierno,https://www.eldiario.es/internacional/derecha-francesa-asesinato-nina-12-anos-atacar-gobierno_1_9641214.html,Potito,0,www.eldiario.es,2022-10-23
1297,comunitat-valenciana,"La historia del día que vino a mudarlo todo: '14 de abril', de Paco Cerdá",https://www.eldiario.es/comunitat-valenciana/eldiario-de-la-cultura/historia-dia-vino-mudarlo-14-abril-paco-cerda_132_9645308.html,Potito,2,www.eldiario.es,2022-10-23
1298,rastreador,Neymar se suma a la campaña de Bolsonaro en un directo ante un millón de personas: “Con su reelección y Brasil campeón todo el mundo estará feliz”,https://www.eldiario.es/rastreador/neymar-suma-campana-bolsonaro-directo-millon-personas-reeleccion-brasil-campeon-mundo-estara-feliz_132_9647287.html,Potito,4,www.eldiario.es,2022-10-23
1299,viajes,"Ometepe, la isla de los volcanes que se baña en el agua dulce de Nicaragua",https://www.eldiario.es/viajes/grandes_viajes/ometepe-isla-volcanes-bana-agua-dulce-nicaragua_1_9640617.html,Política,4,www.eldiario.es,2022-10-23
1300,galicia,Chapapote: 20 años del caos del 'Prestige' a través de una mirada periodística colectiva,https://www.eldiario.es/galicia/chapapote-20-anos-caos-prestige-traves-mirada-periodistica-colectiva_1_9642579.html,Sociedad,0,www.eldiario.es,2022-10-23
1301,euskadi,Los atuneros vascos que faenan en Senegal se preparan para el desguace,https://www.eldiario.es/euskadi/atuneros-vascos-faenan-senegal-preparan-desguace_1_9635887.html,Sociedad,4,www.eldiario.es,2022-10-23
